Organ	MgCesA2	MgCesA3	MgCesA4	MgCesA5	MgCesA6	MgCesA7	MgCesA8	MgCesA10	MgCesA11	MgCesA12		
L1	1	1	1	1	1	1	1	1	1	1		
L3	0.182892994	0.371900505	0.309414114	1.703057386	0.67125172	0.222682762	0.586097786	0.280888134	0.339946795	0.222523618		
L5	0.153577779	0.438449811	0.359864216	1.563627477	0.564092329	0.162396535	0.321765792	0.118594634	0.087169471	0.093592223		
IN12	0.944684556	1.424540819	1.476755794	0.799787743	1.149748187	2.148583342	1.238663719	15.90184944	20.82441909	18.73514136		
IN34	0.922045334	1.767545788	1.267201022	1.152149031	1.087194151	2.057991875	1.134562088	14.00414416	18.41658619	16.40880944		
IN56	2.198057719	2.37554924	2.559772741	1.674007816	1.949152734	3.250630493	2.430401534	16.4789105	20.29695128	21.03051569		
N	2.405669746	3.336297725	2.060690504	1.505608279	0.83591184	1.336366713	2.446457571	4.344485472	4.182544191	4.833197359		
R	5.487928325	1.597200508	3.13280544	1.448157728	0.537324064	1.420951752	6.103139241	2.664585109	3.930756127	2.79223752		
B	7.649513252	3.551298722	4.140546172	3.049229988	1.159267271	2.685782765	9.715104194	3.066116254	3.75364772	2.925450276		
S	0.2674474	0.714944967	0.420786152	1.768843759	0.584198827	0.242441683	0.210467876	0.039669786	0.137299098	0.075746208		
												
												
Organ	MgCesA2	MgCesA3	MgCesA4	MgCesA5	MgCesA6	MgCesA7	MgCesA8	MgCesA10	MgCesA11	MgCesA12		
L1	0.205111784	0.074965539	0.208220168	0.043799977	0.081926348	0.227229067	0.296641105	0.246291162	0.153927099	0.308799077		
L3	0.055362018	0.077898388	0.048142299	0.162730387	0.065351369	0.041899746	0.135176816	0.108561899	0.133929954	0.091429593		
L5	0.035245892	0.047635121	0.099989597	0.572607264	0.017462134	0.045881642	0.13438569	0.095445381	0.054941356	0.079090727		
IN12	0.210842487	0.112880785	0.040356679	0.360995456	0.190896836	0.406476751	0.298131179	5.357977896	4.976066534	5.516256877		
IN34	0.065587462	0.089277803	0.207411973	0.235435334	0.140882694	0.232260029	0.365115386	2.20755523	1.495438104	2.742359501		
IN56	0.546139373	0.393916175	0.314951768	0.467315594	0.439089781	0.715435872	0.581962573	1.444328609	0.786587603	2.245649925		
N	0.361950874	0.061897789	0.112283168	0.043757164	0.074552365	0.051612959	0.636004877	0.468017387	0.514624726	0.750283836		
R	0.899831622	0.059763358	0.674971383	0.452050524	0.097217537	0.237782665	1.595076033	0.490104682	0.565730316	0.816194322		
B	1.624021798	0.339832435	0.984925047	0.322359654	0.299061958	0.466650527	3.865321916	0.481986572	0.577798357	0.780626167		
S	0.085170308	0.057403829	0.020610393	0.521180936	0.079613101	0.019794894	0.071873877	0.006005326	0.068679648	0.017374593		
